code,tobe,in,missing,provider,brand,name,description,appliance,classification,storage,price
FLT338-01,4,2,2,MAF,MAF,MUELLE MESTRA,26 1/8*30 1/8*3*702,FREIGHTLINER M2 TRA,MUEL,CONSIGNACION,
FT450BF-01,6,5,1,MAF,MAF,MUELLE MAESTRA,25*31*3*401,FORD TRITON TRA,MUEL,CONSIGNACION,
FT450F-02,10,6,4,MAF,MAF,MUELLE SEGUNDA,25*31*3*401,FORD TRITON TRA,MUEL,CONSIGNACION,
FT450F-02R,10,4,6,MAF,MAF,MUELLE SEGUNDA REF,25*31*3*401,FORD TRITON TRA,MUEL,CONSIGNACION,
FT487R-03,10,10,0,MAF,MAF,MUELLE TERCERA,23 1/4*23 1/4*2 1/4*323,,MUEL,CONSIGNACION,
FT487R-04,10,10,0,MAF,MAF,MUELLE CUARTA,21 1/4*21 1/4*2 1/4*323,,MUEL,CONSIGNACION,
FT487R-05,10,10,0,MAF,MAF,MUELLE QUINTA,19 1/4*19 1/4*2 1/4*323,,MUEL,CONSIGNACION,
FT691-02,2,2,0,MAF,MAF,MUELLE SEGUNDA,23*29*3*291,,MUEL,CONSIGNACION,
FT691-02R,2,2,0,MAF,MAF,MUELLE SEGUNDA REF,25*31*3*323,,MUEL,CONSIGNACION,
HYT-H100-02,3,3,0,MAF,MAF,MUELLE SEGUNDA,21*27 1/2*2 1/4*323,H-100,MUEL,CONSIGNACION,
HYT-H100--02R,3,3,0,MAF,MAF,MUELLE SEGUNDA REF,20 1/2*27*2 1/4*323,H-100,MUEL,CONSIGNACION,
HYT-H100DR-01,2,2,0,MAF,MAF,MUELLE MAESTRA,20 1/8*26 7/8*2 3/4*354,H-100,MUEL,CONSIGNACION,
HYT-H100DR-02R,10,10,0,MAF,MAF,MUELLE SEGUNDA REF,23*23*3*401,H-100,MUEL,CONSIGNACION,
ISD450-01,1,1,0,MAF,MAF,MUELLE MAESTRA,25 11/16*25 11/16*2 3/4*630,,MUEL,CONSIGNACION,
ISD450-02,1,1,0,MAF,MAF,MUELLE SEGUNDA,25 11/16*25 11/16*2 3/4*630,,MUEL,CONSIGNACION,
IT537-13,1,1,0,MAF,MAF,MUELLE TIRANTE,27*3 3/4*3*447,,MUEL,CONSIGNACION,
